Timestamp,Symbol,Price,Volume_24h,Change_24h,Bid_Price,Ask_Price,High_24h,Low_24h,Quote_Asset_Volume_24h,Number_of_Trades_24h
2024-10-02 12:50:05.759932,BTCUSDT,60996.0,2745697598.438283,-4.263,60995.99,60996.0,63720.0,60164.0,2745697598.438283,6357876.0
2024-10-02 12:50:05.760061,ETHUSDT,2450.38,1266561757.478305,-6.66,2450.37,2450.38,2625.24,2414.0,1266561757.478305,5096669.0
2024-10-02 12:50:05.760123,BNBUSDT,544.4,271332639.1052,-5.732,544.3,544.4,577.9,536.8,271332639.1052,1022177.0
2024-10-02 12:50:05.760308,NEOUSDT,9.98,8403973.6417,-6.99,9.98,9.99,10.75,9.48,8403973.6417,33159.0
2024-10-02 12:50:05.760376,LTCUSDT,63.54,31064537.21436,-6.655,63.54,63.55,68.1,62.0,31064537.21436,281604.0
2024-10-02 12:50:05.760471,QTUMUSDT,2.422,3173883.9129,-9.829,2.421,2.423,2.692,2.327,3173883.9129,33082.0
2024-10-02 12:50:05.760556,ADAUSDT,0.3493,55705972.42937,-9.107,0.3492,0.3493,0.3853,0.3424,55705972.42937,312344.0
2024-10-02 12:50:05.760643,XRPUSDT,0.5867,404964306.0001,-6.725,0.5867,0.5868,0.63,0.5778,404964306.0001,1432257.0
2024-10-02 12:50:05.760736,EOSUSDT,0.4784,7461044.69626,-7.929,0.4783,0.4784,0.5199,0.4639,7461044.69626,46514.0
2024-10-02 12:50:05.760828,TUSDUSDT,0.9975,1000866.4589,-0.07,0.9975,0.9976,0.9983,0.9974,1000866.4589,5344.0
2024-10-02 12:50:05.760970,IOTAUSDT,0.121,7439863.6556,-10.304,0.1209,0.121,0.1353,0.1175,7439863.6556,34474.0
2024-10-02 12:50:05.761072,XLMUSDT,0.093,11814365.5622,-6.814,0.0929,0.093,0.1,0.092,11814365.5622,106671.0
2024-10-02 12:50:05.761185,ONTUSDT,0.1784,1835301.6021,-9.026,0.1784,0.1785,0.1965,0.1721,1835301.6021,16913.0
2024-10-02 12:50:05.761281,TRXUSDT,0.1538,70628944.61189,-1.976,0.1537,0.1538,0.157,0.153,70628944.61189,175993.0
2024-10-02 12:50:05.761377,ETCUSDT,18.26,14928445.1691,-7.121,18.26,18.27,19.68,18.0,14928445.1691,94700.0
2024-10-02 12:50:05.761480,ICXUSDT,0.1363,1074411.58564,-9.254,0.1363,0.1364,0.1502,0.133,1074411.58564,16797.0
2024-10-02 12:50:05.761701,NULSUSDT,0.3253,3004340.3257,-13.668,0.3252,0.3255,0.3773,0.316,3004340.3257,29992.0
2024-10-02 12:50:05.761809,VETUSDT,0.02262,10975355.497027,-8.717,0.02263,0.02264,0.02481,0.02212,10975355.497027,117548.0
2024-10-02 12:50:05.762273,USDCUSDT,1.0001,882008616.9119,0.01,1.0001,1.0002,1.0005,1.0,882008616.9119,485965.0
2024-10-02 12:50:05.762398,LINKUSDT,11.0,48567606.303,-9.016,11.0,11.01,12.11,10.84,48567606.303,241798.0
2024-10-02 12:50:05.763262,ONGUSDT,0.2922,2793374.8033,-8.401,0.2922,0.2924,0.3194,0.282,2793374.8033,34271.0
2024-10-02 12:50:05.763394,HOTUSDT,0.001589,3602657.30019,-12.644,0.001589,0.00159,0.001822,0.00155,3602657.30019,26718.0
2024-10-02 12:50:05.763504,ZILUSDT,0.01406,4947269.831936,-8.82,0.01404,0.01406,0.01543,0.01361,4947269.831936,32743.0
2024-10-02 12:50:05.763599,ZRXUSDT,0.3095,2910464.7544,-9.74,0.3098,0.3099,0.3432,0.2985,2910464.7544,22851.0
2024-10-02 12:50:05.763694,FETUSDT,1.462,173238189.724,-11.768,1.461,1.462,1.66,1.412,173238189.724,1118178.0
2024-10-02 12:50:05.763790,BATUSDT,0.1666,1429878.9066,-9.604,0.1665,0.1666,0.1844,0.1652,1429878.9066,19569.0
2024-10-02 12:50:05.763989,ZECUSDT,26.77,3101794.89301,-5.806,26.79,26.82,28.48,25.05,3101794.89301,25328.0
2024-10-02 12:50:05.764154,IOSTUSDT,0.00488,2841140.83876,-11.273,0.00488,0.00489,0.00551,0.00481,2841140.83876,19190.0
2024-10-02 12:50:05.764289,CELRUSDT,0.01143,1495698.072071,-12.947,0.01143,0.01145,0.01316,0.0113,1495698.072071,17555.0
2024-10-02 12:50:05.764421,DASHUSDT,23.02,6989835.97424,-6.575,23.02,23.04,24.66,22.18,6989835.97424,54274.0
2024-10-02 12:50:05.764812,THETAUSDT,1.287,12184107.3845,-10.687,1.287,1.288,1.447,1.281,12184107.3845,65433.0
2024-10-02 12:50:05.764942,ENJUSDT,0.1491,4145463.84222,-13.264,0.1491,0.1492,0.1721,0.1438,4145463.84222,40531.0
